data,بدون_تشكيل,tag,المحذوف
,قل,فعل,قُلْ
أَأَنْتُمْ,اانتم,,
أَعْلَمُ,اعلم,,
أَمِ,ام,,
اللَّهُ,,اسم,اللَّهُ
,ومن,حرف_جر,وَمَنْ
,اظلم,اسم,أَظْلَمُ
,ممن,حرف_جر,مِمَّنْ
,كتم,اسم,كَتَمَ
,None,اسم,شَهَادَةً
عِنْدَهُ,عنده,,
مِنَ,,اسم,من
اللَّهِ,,اسم,اللَّهِ
,وما,حرف,وَمَا
اللَّهُ,,اسم,اللَّهُ
,None,اسم,بِغَافِلٍ
,عما,حرف_جر,عَمَّا
,تعملون,اسم,تَعْمَلُونَ
تِلْكَ,,اسم,تلك
,None,اسم,أُمَّةٌ
,قد,حرف,قَدْ
خَلَتْ,خلت,,
,لها,حرف_جر,لَهَا
مَا,,اسم,ما
كَسَبَتْ,كسبت,,
,ولكم,حرف_جر,وَلَكُمْ
مَا,,اسم,ما
كَسَبْتُمْ,كسبتم,,
,ولا,حرف,وَلَا
تُسْأَلُونَ,تسالون,,
,عما,حرف_جر,عَمَّا
,كانوا,اسم,كَانُوا
يَعْمَلُونَ,يعملون,,
سَيَقُولُ,سيقول,,
السُّفَهَاءُ,السفهاء,اسم,السُّفَهَاءُ
مِنَ,,اسم,من
النَّاسِ,الناس,اسم,النَّاسِ
مَا,,اسم,ما
وَلَّاهُمْ,ولاهم,,
,عن,حرف_جر,عَنْ
,قبلتهم,اسم,قِبْلَتِهِمُ
الَّتِي,,اسم,الَّتِي
كَانُوا,كانوا,,
,عليها,حرف_جر,عَلَيْهَا
,قل,اسم,قُلْ
لِلَّهِ,,اسم,لله
الْمَشْرِقُ,المشرق,اسم,الْمَشْرِقُ
وَالْمَغْرِبُ,والمغرب,,
,يهدي,فعل,
,,فعل,مَنْ
يَشَاءُ,يشاء,,
إِلَىٰ,الي,,
,None,اسم,صِرَاطٍ
,None,اسم,مُسْتَقِيمٍ
وَكَذَٰلِكَ,,اسم,وكذلك
جَعَلْنَاكُمْ,جعلناكم,,
,None,اسم,أُمَّةً
,None,اسم,وَسَطًا
لِتَكُونُوا,لتكونوا,,
شُهَدَاءَ,شهداء,,
,علي,حرف_جر,عَلَى
,الناس,اسم,النَّاسِ
وَيَكُونَ,ويكون,,
الرَّسُولُ,الرسول,اسم,الرَّسُولُ
,عليكم,حرف_جر,عَلَيْكُمْ
,None,اسم,شَهِيدًا
,وما,حرف,وَمَا
جَعَلْنَا,جعلنا,,
الْقِبْلَةَ,القبله,اسم,الْقِبْلَةَ
الَّتِي,,اسم,الَّتِي
كُنْتَ,كنت,,
,عليها,حرف_جر,عَلَيْهَا
,الا,اسم,إِلَّا
لِنَعْلَمَ,لنعلم,,
,,فعل,مَنْ
يَتَّبِعُ,يتبع,,
الرَّسُولَ,الرسول,اسم,الرَّسُولَ
,ممن,حرف_جر,مِمَّنْ
,ينقلب,اسم,يَنْقَلِبُ
,علي,حرف_جر,عَلَىٰ
,عقبيه,اسم,عَقِبَيْهِ
,وان,حرف,وَإِنْ
كَانَتْ,كانت,,
,None,اسم,لَكَبِيرَةً
,الا,حرف,إِلَّا
,علي,حرف_جر,عَلَى
الَّذِينَ,,اسم,الَّذِينَ
,هدي,فعل,
اللَّهُ,,اسم,اللَّهُ
,وما,حرف,وَمَا
,كان,فعل,
اللَّهُ,,اسم,اللَّهُ
لِيُضِيعَ,ليضيع,,
إِيمَانَكُمْ,ايمانكم,,
,ان,حرف,إِنَّ
اللَّهَ,,اسم,اللَّهَ
بِالنَّاسِ,بالناس,,
,None,اسم,لَرَءُوفٌ
,None,اسم,رَحِيمٌ
,قد,حرف,قَدْ
نَرَىٰ,نري,,
تَقَلُّبَ,تقلب,,
وَجْهِكَ,وجهك,,
,في,حرف_جر,فِي
,السماء,اسم,السَّمَاءِ
فَلَنُوَلِّيَنَّكَ,فلنولينك,,
,None,اسم,قِبْلَةً
تَرْضَاهَا,ترضاها,,
فَوَلِّ,فول,,
وَجْهَكَ,وجهك,,
شَطْرَ,شطر,,
الْمَسْجِدِ,المسجد,اسم,الْمَسْجِدِ
الْحَرَامِ,الحرام,اسم,الْحَرَامِ
وَحَيْثُ,وحيث,,
مَا,,اسم,ما
كُنْتُمْ,كنتم,,
فَوَلُّوا,فولوا,,
وُجُوهَكُمْ,وجوهكم,,
شَطْرَهُ,شطره,,
,وان,حرف,وَإِنَّ
الَّذِينَ,,اسم,الَّذِينَ
أُوتُوا,اوتوا,,
الْكِتَابَ,الكتاب,اسم,الْكِتَابَ
لَيَعْلَمُونَ,ليعلمون,,
أَنَّهُ,انه,,
الْحَقُّ,,اسم,الْحَقُّ
,,فعل,مِنْ
رَبِّهِمْ,ربهم,,
,وما,حرف,وَمَا
اللَّهُ,,اسم,اللَّهُ
,None,اسم,بِغَافِلٍ
,عما,حرف_جر,عَمَّا
,يعملون,اسم,يَعْمَلُونَ
وَلَئِنْ,ولين,,
أَتَيْتَ,اتيت,,
الَّذِينَ,,اسم,الَّذِينَ
أُوتُوا,اوتوا,,
الْكِتَابَ,الكتاب,اسم,الْكِتَابَ
بِكُلِّ,بكل,,
,None,اسم,آيَةٍ
مَا,,اسم,ما
تَبِعُوا,تبعوا,,
قِبْلَتَكَ,قبلتك,,
,وما,حرف,وَمَا
أَنْتَ,,اسم,انت
,None,اسم,بِتَابِعٍ
قِبْلَتَهُمْ,قبلتهم,,
,وما,حرف,وَمَا
بَعْضُهُمْ,بعضهم,,
,None,اسم,بِتَابِعٍ
قِبْلَةَ,قبله,,
,None,اسم,بَعْضٍ
وَلَئِنِ,ولين,,
اتَّبَعْتَ,اتبعت,,
أَهْوَاءَهُمْ,اهواءهم,,
,,فعل,مِنْ
بَعْدِ,بعد,,
مَا,,اسم,ما
جَاءَكَ,جاءك,,
مِنَ,,اسم,من
الْعِلْمِ,العلم,اسم,الْعِلْمِ
إِنَّكَ,انك,,
,None,اسم,إِذًا
,لمن,حرف,لَمِنَ
الظَّالِمِينَ,الظالمين,اسم,الظَّالِمِينَ
الَّذِينَ,,اسم,الَّذِينَ
آتَيْنَاهُمُ,اتيناهم,,
الْكِتَابَ,الكتاب,اسم,الْكِتَابَ
يَعْرِفُونَهُ,يعرفونه,,
,كما,حرف,كَمَا
يَعْرِفُونَ,يعرفون,,
أَبْنَاءَهُمْ,ابناءهم,,
,وان,حرف,وَإِنَّ
,None,اسم,فَرِيقًا
,منهم,حرف_جر,مِنْهُمْ
,ليكتمون,اسم,لَيَكْتُمُونَ
الْحَقَّ,,اسم,الْحَقَّ
,وهم,حرف,وَهُمْ
يَعْلَمُونَ,يعلمون,,
الْحَقُّ,,اسم,الْحَقُّ
,,فعل,مِنْ
رَبِّكَ,ربك,,
,فلا,حرف,فَلَا
تَكُونَنَّ,تكونن,,
مِنَ,,اسم,من
الْمُمْتَرِينَ,الممترين,اسم,الْمُمْتَرِينَ
,None,اسم,وَلِكُلٍّ
,None,اسم,وِجْهَةٌ
هُوَ,,اسم,هو
مُوَلِّيهَا,موليها,,
فَاسْتَبِقُوا,فاستبقوا,,
الْخَيْرَاتِ,الخيرات,اسم,الْخَيْرَاتِ
أَيْنَ,,اسم,اين
مَا,,اسم,ما
تَكُونُوا,تكونوا,,
يَأْتِ,يات,,
بِكُمُ,بكم,,
اللَّهُ,,اسم,اللَّهُ
,None,اسم,جَمِيعًا
,ان,حرف,إِنَّ
اللَّهَ,,اسم,اللَّهَ
,علي,حرف_جر,عَلَىٰ
,كل,اسم,كُلِّ
,None,اسم,شَيْءٍ
,None,اسم,قَدِيرٌ
,ومن,حرف_جر,وَمِنْ
حَيْثُ,,اسم,حيث
خَرَجْتَ,خرجت,,
فَوَلِّ,فول,,
وَجْهَكَ,وجهك,,
شَطْرَ,شطر,,
الْمَسْجِدِ,المسجد,اسم,الْمَسْجِدِ
الْحَرَامِ,الحرام,اسم,الْحَرَامِ
وَإِنَّهُ,وانه,,
لَلْحَقُّ,للحق,,
,,فعل,مِنْ
رَبِّكَ,ربك,,
,وما,حرف,وَمَا
اللَّهُ,,اسم,اللَّهُ
,None,اسم,بِغَافِلٍ
,عما,حرف_جر,عَمَّا
,تعملون,اسم,تَعْمَلُونَ
,ومن,حرف_جر,وَمِنْ
حَيْثُ,,اسم,حيث
خَرَجْتَ,خرجت,,
فَوَلِّ,فول,,
وَجْهَكَ,وجهك,,
شَطْرَ,شطر,,
الْمَسْجِدِ,المسجد,اسم,الْمَسْجِدِ
الْحَرَامِ,الحرام,اسم,الْحَرَامِ
وَحَيْثُ,وحيث,,
مَا,,اسم,ما
كُنْتُمْ,كنتم,,
فَوَلُّوا,فولوا,,
وُجُوهَكُمْ,وجوهكم,,
شَطْرَهُ,شطره,,
لِئَلَّا,ليلا,,
يَكُونَ,يكون,,
لِلنَّاسِ,للناس,,
,عليكم,حرف_جر,عَلَيْكُمْ
,None,اسم,حُجَّةٌ
,الا,حرف,إِلَّا
الَّذِينَ,,اسم,الَّذِينَ
ظَلَمُوا,ظلموا,,
,منهم,حرف_جر,مِنْهُمْ
,فلا,اسم,فَلَا
تَخْشَوْهُمْ,تخشوهم,,
وَاخْشَوْنِي,واخشوني,,
وَلِأُتِمَّ,ولاتم,,
نِعْمَتِي,نعمتي,,
,عليكم,حرف_جر,عَلَيْكُمْ
,ولعلكم,اسم,وَلَعَلَّكُمْ
تَهْتَدُونَ,تهتدون,,
,كما,حرف,كَمَا
أَرْسَلْنَا,ارسلنا,,
,فيكم,حرف_جر,فِيكُمْ
,None,اسم,رَسُولًا
,منكم,حرف_جر,مِنْكُمْ
,يتلو,اسم,يَتْلُو
,عليكم,حرف_جر,عَلَيْكُمْ
,اياتنا,اسم,آيَاتِنَا
وَيُزَكِّيكُمْ,ويزكيكم,,
وَيُعَلِّمُكُمُ,ويعلمكم,,
الْكِتَابَ,الكتاب,اسم,الْكِتَابَ
وَالْحِكْمَةَ,والحكمه,,
وَيُعَلِّمُكُمْ,ويعلمكم,,
مَا,,اسم,ما
,,فعل,لَمْ
تَكُونُوا,تكونوا,,
تَعْلَمُونَ,تعلمون,,
فَاذْكُرُونِي,فاذكروني,,
أَذْكُرْكُمْ,اذكركم,,
وَاشْكُرُوا,واشكروا,,
,لي,حرف_جر,لِي
,ولا,اسم,وَلَا
تَكْفُرُونِ,تكفرون,,
,يا,حرف,يَا
,ايها,حرف,أَيُّهَا
الَّذِينَ,,اسم,الَّذِينَ
آمَنُوا,امنوا,,
اسْتَعِينُوا,استعينوا,,
بِالصَّبْرِ,بالصبر,,
وَالصَّلَاةِ,والصلاه,,
,ان,حرف,إِنَّ
اللَّهَ,,اسم,اللَّهَ
مَعَ,مع,,
الصَّابِرِينَ,الصابرين,اسم,الصَّابِرِينَ
,ولا,حرف,وَلَا
تَقُولُوا,تقولوا,,
,لمن,حرف_جر,لِمَنْ
,يقتل,اسم,يُقْتَلُ
,في,حرف_جر,فِي
,سبيل,اسم,سَبِيلِ
اللَّهِ,,اسم,اللَّهِ
,None,اسم,أَمْوَاتٌ
,بل,حرف,بَلْ
,None,اسم,أَحْيَاءٌ
,ولكن,حرف,وَلَٰكِنْ
,لا,حرف,لَا
تَشْعُرُونَ,تشعرون,,
وَلَنَبْلُوَنَّكُمْ,ولنبلونكم,,
,None,اسم,بِشَيْءٍ
مِنَ,,اسم,من
الْخَوْفِ,الخوف,اسم,الْخَوْفِ
وَالْجُوعِ,والجوع,,
,None,اسم,وَنَقْصٍ
مِنَ,,اسم,من
الْأَمْوَالِ,الاموال,اسم,الْأَمْوَالِ
وَالْأَنْفُسِ,والانفس,,
وَالثَّمَرَاتِ,والثمرات,,
وَبَشِّرِ,وبشر,,
الصَّابِرِينَ,الصابرين,اسم,الصَّابِرِينَ
الَّذِينَ,,اسم,الَّذِينَ
إِذَا,اذا,,
أَصَابَتْهُمْ,اصابتهم,,
,None,اسم,مُصِيبَةٌ
قَالُوا,قالوا,,
إِنَّا,,اسم,انا
لِلَّهِ,,اسم,لله
,وانا,حرف,وَإِنَّا
,اليه,حرف_جر,إِلَيْهِ
,راجعون,اسم,رَاجِعُونَ
أُولَٰئِكَ,,اسم,اوليك
,عليهم,حرف_جر,عَلَيْهِمْ
,None,اسم,صَلَوَاتٌ
,,فعل,مِنْ
رَبِّهِمْ,ربهم,,
,None,اسم,وَرَحْمَةٌ
وَأُولَٰئِكَ,,اسم,واوليك
هُمُ,,اسم,هم
الْمُهْتَدُونَ,المهتدون,اسم,الْمُهْتَدُونَ
,ان,حرف,إِنَّ
الصَّفَا,الصفا,اسم,الصَّفَا
وَالْمَرْوَةَ,والمروه,,
,,فعل,مِنْ
شَعَائِرِ,شعاير,,
اللَّهِ,,اسم,اللَّهِ
,فمن,حرف_جر,فَمَنْ
,حج,اسم,حَجَّ
الْبَيْتَ,البيت,اسم,الْبَيْتَ
أَوِ,او,,
اعْتَمَرَ,اعتمر,,
,فلا,حرف,فَلَا
جُنَاحَ,جناح,,
,عليه,حرف_جر,عَلَيْهِ
,ان,اسم,أَنْ
يَطَّوَّفَ,يطوف,,
,بهما,حرف_جر,بِهِمَا
,ومن,اسم,وَمَنْ
تَطَوَّعَ,تطوع,,
,None,اسم,خَيْرًا
,فان,حرف,فَإِنَّ
اللَّهَ,,اسم,اللَّهَ
,None,اسم,شَاكِرٌ
,None,اسم,عَلِيمٌ
,ان,حرف,إِنَّ
الَّذِينَ,,اسم,الَّذِينَ
يَكْتُمُونَ,يكتمون,,
مَا,,اسم,ما
أَنْزَلْنَا,انزلنا,,
مِنَ,,اسم,من
الْبَيِّنَاتِ,البينات,اسم,الْبَيِّنَاتِ
وَالْهُدَىٰ,والهدي,,
,,فعل,مِنْ
بَعْدِ,بعد,,
مَا,,اسم,ما
بَيَّنَّاهُ,بيناه,,
لِلنَّاسِ,للناس,,
,في,حرف_جر,فِي
,الكتاب,اسم,الْكِتَابِ
أُولَٰئِكَ,,اسم,اوليك
يَلْعَنُهُمُ,يلعنهم,,
اللَّهُ,,اسم,اللَّهُ
وَيَلْعَنُهُمُ,ويلعنهم,,
اللَّاعِنُونَ,اللاعنون,اسم,اللَّاعِنُونَ
,الا,حرف,إِلَّا
الَّذِينَ,,اسم,الَّذِينَ
تَابُوا,تابوا,,
وَأَصْلَحُوا,واصلحوا,,
وَبَيَّنُوا,وبينوا,,
فَأُولَٰئِكَ,,اسم,فاوليك
أَتُوبُ,اتوب,,
,عليهم,حرف_جر,عَلَيْهِمْ
,وانا,اسم,وَأَنَا
التَّوَّابُ,,اسم,التَّوَّابُ
الرَّحِيمُ,,اسم,الرَّحِيمُ
,ان,حرف,إِنَّ
الَّذِينَ,,اسم,الَّذِينَ
كَفَرُوا,كفروا,,
وَمَاتُوا,وماتوا,,
,وهم,حرف,وَهُمْ
,None,اسم,كُفَّارٌ
أُولَٰئِكَ,,اسم,اوليك
,عليهم,حرف_جر,عَلَيْهِمْ
,لعنه,اسم,لَعْنَةُ
اللَّهِ,,اسم,اللَّهِ
وَالْمَلَائِكَةِ,والملايكه,,
وَالنَّاسِ,والناس,,
أَجْمَعِينَ,اجمعين,,
خَالِدِينَ,خالدين,,
,فيها,حرف_جر,فِيهَا
,لا,اسم,لَا
يُخَفَّفُ,يخفف,,
عَنْهُمُ,عنهم,,
الْعَذَابُ,العذاب,اسم,الْعَذَابُ
,ولا,حرف,وَلَا
هُمْ,,اسم,هم
يُنْظَرُونَ,ينظرون,,
وَإِلَٰهُكُمْ,والهكم,,
,None,اسم,إِلَٰهٌ
,None,اسم,وَاحِدٌ
,لا,حرف,لَا
إِلَٰهَ,اله,,
,الا,حرف,إِلَّا
هُوَ,,اسم,هو
الرَّحْمَٰنُ,,اسم,الرَّحْمَٰنُ
الرَّحِيمُ,,اسم,الرَّحِيمُ
,ان,حرف,إِنَّ
,في,حرف_جر,فِي
,خلق,اسم,خَلْقِ
السَّمَاوَاتِ,السماوات,اسم,السَّمَاوَاتِ
وَالْأَرْضِ,والارض,,
وَاخْتِلَافِ,واختلاف,,
اللَّيْلِ,الليل,اسم,اللَّيْلِ
وَالنَّهَارِ,والنهار,,
وَالْفُلْكِ,والفلك,,
الَّتِي,,اسم,الَّتِي
تَجْرِي,تجري,,
,في,حرف_جر,فِي
,البحر,اسم,الْبَحْرِ
,بما,حرف_جر,بِمَا
,ينفع,اسم,يَنْفَعُ
النَّاسَ,الناس,اسم,النَّاسَ
,وما,حرف,وَمَا
أَنْزَلَ,انزل,,
اللَّهُ,,اسم,اللَّهُ
مِنَ,,اسم,من
السَّمَاءِ,السماء,اسم,السَّمَاءِ
,,فعل,مِنْ
,None,اسم,مَاءٍ
فَأَحْيَا,فاحيا,,
,به,حرف_جر,بِهِ
,الارض,اسم,الْأَرْضَ
بَعْدَ,بعد,,
مَوْتِهَا,موتها,,
وَبَثَّ,وبث,,
,فيها,حرف_جر,فِيهَا
,,فعل,مِنْ
كُلِّ,كل,,
,None,اسم,دَابَّةٍ
وَتَصْرِيفِ,وتصريف,,
الرِّيَاحِ,الرياح,اسم,الرِّيَاحِ
وَالسَّحَابِ,والسحاب,,
الْمُسَخَّرِ,المسخر,اسم,الْمُسَخَّرِ
بَيْنَ,,اسم,بين
السَّمَاءِ,السماء,اسم,السَّمَاءِ
وَالْأَرْضِ,والارض,,
,None,اسم,لَآيَاتٍ
,None,اسم,لِقَوْمٍ
يَعْقِلُونَ,يعقلون,,
,ومن,حرف_جر,وَمِنَ
,الناس,اسم,النَّاسِ
,,فعل,مَنْ
يَتَّخِذُ,يتخذ,,
,,فعل,مِنْ
دُونِ,,اسم,دون
اللَّهِ,,اسم,اللَّهِ
,None,اسم,أَنْدَادًا
يُحِبُّونَهُمْ,يحبونهم,,
كَحُبِّ,كحب,,
اللَّهِ,,اسم,اللَّهِ
وَالَّذِينَ,,اسم,والذين
آمَنُوا,امنوا,,
أَشَدُّ,اشد,,
,None,اسم,حُبًّا
لِلَّهِ,,اسم,لله
,ولو,حرف,وَلَوْ
يَرَى,يري,,
الَّذِينَ,,اسم,الَّذِينَ
ظَلَمُوا,ظلموا,,
,اذ,حرف,إِذْ
يَرَوْنَ,يرون,,
الْعَذَابَ,العذاب,اسم,الْعَذَابَ
,ان,حرف,أَنَّ
الْقُوَّةَ,القوه,اسم,الْقُوَّةَ
لِلَّهِ,,اسم,لله
,None,اسم,جَمِيعًا
,وان,حرف,وَأَنَّ
اللَّهَ,,اسم,اللَّهَ
شَدِيدُ,شديد,,
الْعَذَابِ,العذاب,اسم,الْعَذَابِ
,اذ,حرف,إِذْ
تَبَرَّأَ,تبرا,,
الَّذِينَ,,اسم,الَّذِينَ
اتُّبِعُوا,اتبعوا,,
مِنَ,,اسم,من
الَّذِينَ,,اسم,الَّذِينَ
اتَّبَعُوا,اتبعوا,,
وَرَأَوُا,وراوا,,
الْعَذَابَ,العذاب,اسم,الْعَذَابَ
وَتَقَطَّعَتْ,وتقطعت,,
بِهِمُ,بهم,,
الْأَسْبَابُ,الاسباب,اسم,الْأَسْبَابُ
وَقَالَ,وقال,,
الَّذِينَ,,اسم,الَّذِينَ
اتَّبَعُوا,اتبعوا,,
,لو,حرف,لَوْ
,ان,حرف,أَنَّ
,لنا,حرف_جر,لَنَا
,None,اسم,كَرَّةً
فَنَتَبَرَّأَ,فنتبرا,,
,منهم,حرف_جر,مِنْهُمْ
,كما,اسم,كَمَا
تَبَرَّءُوا,تبرءوا,,
,منا,حرف_جر,مِنَّا
كَذَٰلِكَ,,اسم,كذلك
يُرِيهِمُ,يريهم,,
اللَّهُ,,اسم,اللَّهُ
أَعْمَالَهُمْ,اعمالهم,,
,None,اسم,حَسَرَاتٍ
,عليهم,حرف_جر,عَلَيْهِمْ
,وما,اسم,وَمَا
هُمْ,,اسم,هم
بِخَارِجِينَ,بخارجين,,
مِنَ,,اسم,من
النَّارِ,النار,اسم,النَّارِ
,يا,حرف,يَا
,ايها,حرف,أَيُّهَا
النَّاسُ,الناس,اسم,النَّاسُ
كُلُوا,كلوا,,
,مما,حرف_جر,مِمَّا
,في,اسم,فِي
الْأَرْضِ,الارض,اسم,الْأَرْضِ
,None,اسم,حَلَالًا
,None,اسم,طَيِّبًا
,ولا,حرف,وَلَا
تَتَّبِعُوا,تتبعوا,,
خُطُوَاتِ,خطوات,,
الشَّيْطَانِ,الشيطان,اسم,الشَّيْطَانِ
إِنَّهُ,انه,,
,لكم,حرف_جر,لَكُمْ
,None,اسم,عَدُوٌّ
,None,اسم,مُبِينٌ
,انما,حرف,إِنَّمَا
يَأْمُرُكُمْ,يامركم,,
بِالسُّوءِ,بالسوء,,
وَالْفَحْشَاءِ,والفحشاء,,
,وان,حرف,وَأَنْ
تَقُولُوا,تقولوا,,
,علي,حرف_جر,عَلَى
اللَّهِ,,اسم,اللَّهِ
مَا,,اسم,ما
,لا,حرف,لَا
تَعْلَمُونَ,تعلمون,,
وَإِذَا,واذا,,
قِيلَ,قيل,,
لَهُمُ,لهم,,
اتَّبِعُوا,اتبعوا,,
مَا,,اسم,ما
أَنْزَلَ,انزل,,
اللَّهُ,,اسم,اللَّهُ
قَالُوا,قالوا,,
,بل,حرف,بَلْ
نَتَّبِعُ,نتبع,,
مَا,,اسم,ما
أَلْفَيْنَا,الفينا,,
,عليه,حرف_جر,عَلَيْهِ
,اباءنا,اسم,آبَاءَنَا
أَوَلَوْ,اولو,,
,كان,فعل,
آبَاؤُهُمْ,اباوهم,,
,لا,حرف,لَا
يَعْقِلُونَ,يعقلون,,
,None,اسم,شَيْئًا
,ولا,حرف,وَلَا
يَهْتَدُونَ,يهتدون,,
وَمَثَلُ,ومثل,,
الَّذِينَ,,اسم,الَّذِينَ
كَفَرُوا,كفروا,,
كَمَثَلِ,كمثل,,
الَّذِي,,اسم,الَّذِي
,ينعق,فعل,
,بما,حرف_جر,بِمَا
,لا,اسم,لَا
يَسْمَعُ,يسمع,,
,الا,حرف,إِلَّا
,None,اسم,دُعَاءً
,None,اسم,وَنِدَاءً
,None,اسم,صُمٌّ
,None,اسم,بُكْمٌ
,None,اسم,عُمْيٌ
,فهم,حرف,فَهُمْ
,لا,حرف,لَا
يَعْقِلُونَ,يعقلون,,
,يا,حرف,يَا
,ايها,حرف,أَيُّهَا
الَّذِينَ,,اسم,الَّذِينَ
آمَنُوا,امنوا,,
كُلُوا,كلوا,,
,,فعل,مِنْ
طَيِّبَاتِ,طيبات,,
مَا,,اسم,ما
رَزَقْنَاكُمْ,رزقناكم,,
وَاشْكُرُوا,واشكروا,,
لِلَّهِ,,اسم,لله
,ان,حرف,إِنْ
كُنْتُمْ,كنتم,,
إِيَّاهُ,,اسم,اياه
تَعْبُدُونَ,تعبدون,,
,انما,حرف,إِنَّمَا
حَرَّمَ,حرم,,
عَلَيْكُمُ,عليكم,,
الْمَيْتَةَ,الميته,اسم,الْمَيْتَةَ
وَالدَّمَ,والدم,,
وَلَحْمَ,ولحم,,
الْخِنْزِيرِ,الخنزير,اسم,الْخِنْزِيرِ
,وما,حرف,وَمَا
أُهِلَّ,اهل,,
,به,حرف_جر,بِهِ
,لغير,اسم,لِغَيْرِ
اللَّهِ,,اسم,اللَّهِ
,فمن,حرف,فَمَنِ
اضْطُرَّ,اضطر,,
,غير,حرف,غَيْرَ
,None,اسم,بَاغٍ
,ولا,حرف,وَلَا
,None,اسم,عَادٍ
,فلا,حرف,فَلَا
إِثْمَ,اثم,,
,عليه,حرف_جر,عَلَيْهِ
,ان,اسم,إِنَّ
اللَّهَ,,اسم,اللَّهَ
,None,اسم,غَفُورٌ
,None,اسم,رَحِيمٌ
,ان,حرف,إِنَّ
الَّذِينَ,,اسم,الَّذِينَ
يَكْتُمُونَ,يكتمون,,
مَا,,اسم,ما
أَنْزَلَ,انزل,,
اللَّهُ,,اسم,اللَّهُ
مِنَ,,اسم,من
الْكِتَابِ,الكتاب,اسم,الْكِتَابِ
وَيَشْتَرُونَ,ويشترون,,
,به,حرف_جر,بِهِ
,None,اسم,ثَمَنًا
,None,اسم,قَلِيلًا
أُولَٰئِكَ,,اسم,اوليك
مَا,,اسم,ما
يَأْكُلُونَ,ياكلون,,
,في,حرف_جر,فِي
,بطونهم,اسم,بُطُونِهِمْ
,الا,حرف,إِلَّا
النَّارَ,النار,اسم,النَّارَ
,ولا,حرف,وَلَا
يُكَلِّمُهُمُ,يكلمهم,,
اللَّهُ,,اسم,اللَّهُ
يَوْمَ,يوم,,
الْقِيَامَةِ,القيامه,اسم,الْقِيَامَةِ
,ولا,حرف,وَلَا
يُزَكِّيهِمْ,يزكيهم,,
,ولهم,حرف_جر,وَلَهُمْ
,None,اسم,عَذَابٌ
,None,اسم,أَلِيمٌ
أُولَٰئِكَ,,اسم,اوليك
الَّذِينَ,,اسم,الَّذِينَ
اشْتَرَوُا,اشتروا,,
الضَّلَالَةَ,الضلاله,اسم,الضَّلَالَةَ
بِالْهُدَىٰ,بالهدي,,
وَالْعَذَابَ,والعذاب,,
بِالْمَغْفِرَةِ,بالمغفره,,
,فما,حرف,فَمَا
أَصْبَرَهُمْ,اصبرهم,,
,علي,حرف_جر,عَلَى
,النار,اسم,النَّارِ
ذَٰلِكَ,,اسم,ذلك
,بان,حرف,بِأَنَّ
اللَّهَ,,اسم,اللَّهَ
نَزَّلَ,نزل,,
الْكِتَابَ,الكتاب,اسم,الْكِتَابَ
بِالْحَقِّ,بالحق,,
,وان,حرف,وَإِنَّ
الَّذِينَ,,اسم,الَّذِينَ
اخْتَلَفُوا,اختلفوا,,
,في,حرف_جر,فِي
,الكتاب,اسم,الْكِتَابِ
,لفي,حرف,لَفِي
,None,اسم,شِقَاقٍ
,None,اسم,بَعِيدٍ
,ليس,حرف,لَيْسَ
الْبِرَّ,,اسم,الْبِرَّ
,ان,حرف,أَنْ
تُوَلُّوا,تولوا,,
وُجُوهَكُمْ,وجوهكم,,
قِبَلَ,قبل,,
الْمَشْرِقِ,المشرق,اسم,الْمَشْرِقِ
وَالْمَغْرِبِ,والمغرب,,
وَلَٰكِنَّ,ولكن,,
الْبِرَّ,,اسم,الْبِرَّ
,,فعل,مَنْ
آمَنَ,امن,,
بِاللَّهِ,بالله,,
وَالْيَوْمِ,واليوم,,
الْآخِرِ,,اسم,الْآخِرِ
وَالْمَلَائِكَةِ,والملايكه,,
وَالْكِتَابِ,والكتاب,,
وَالنَّبِيِّينَ,والنبيين,,
وَآتَى,واتي,,
الْمَالَ,المال,اسم,الْمَالَ
,علي,حرف_جر,عَلَىٰ
,حبه,اسم,حُبِّهِ
ذَوِي,ذوي,,
الْقُرْبَىٰ,القربي,اسم,الْقُرْبَىٰ
وَالْيَتَامَىٰ,واليتامي,,
وَالْمَسَاكِينَ,والمساكين,,
وَابْنَ,وابن,,
السَّبِيلِ,السبيل,اسم,السَّبِيلِ
وَالسَّائِلِينَ,والسايلين,,
,وفي,حرف_جر,وَفِي
,الرقاب,اسم,الرِّقَابِ
وَأَقَامَ,واقام,,
الصَّلَاةَ,,اسم,الصَّلَاةَ
وَآتَى,واتي,,
الزَّكَاةَ,,اسم,الزَّكَاةَ
وَالْمُوفُونَ,والموفون,,
بِعَهْدِهِمْ,بعهدهم,,
إِذَا,اذا,,
عَاهَدُوا,عاهدوا,,
وَالصَّابِرِينَ,والصابرين,,
,في,حرف_جر,فِي
,الباساء,اسم,الْبَأْسَاءِ
وَالضَّرَّاءِ,والضراء,,
وَحِينَ,وحين,,
الْبَأْسِ,الباس,اسم,الْبَأْسِ
أُولَٰئِكَ,,اسم,اوليك
الَّذِينَ,,اسم,الَّذِينَ
صَدَقُوا,صدقوا,,
وَأُولَٰئِكَ,,اسم,واوليك
هُمُ,,اسم,هم
الْمُتَّقُونَ,المتقون,اسم,الْمُتَّقُونَ
,يا,حرف,يَا
,ايها,حرف,أَيُّهَا
الَّذِينَ,,اسم,الَّذِينَ
